,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint Name,Best Price,Outer Ring,The Forge,The Citadel,Black Rise,Molden Heath,Heimatar,Metropolis,Tash-Murkon,Devoid,The Bleak Lands,Domain,Kador,Aridia,Kor-Azor,Genesis,Sinq Laison,Everyshore,Solitude,Placid,Essence,Verge Vendor,Derelik,Khanid,Syndicate,Venal,Curse,Lonetrek,Great Wildlands,Stain
Mining Laser Field Enhancement Charge Blueprint,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining Laser Optimization Charge Blueprint,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Shielding Charge Blueprint,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,"10,000,000.00",,
Shield Extension Charge Blueprint,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,"10,000,000.00",,
Shield Harmonizing Charge Blueprint,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,"10,000,000.00",,
Evasive Maneuvers Charge Blueprint,"10,000,000.00",,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,
Interdiction Maneuvers Charge Blueprint,"10,000,000.00",,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,
Rapid Deployment Charge Blueprint,"10,000,000.00",,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,"10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,
Heavy Energy Nosferatu I Blueprint,"9,876,000.00",,"9,876,000.00","9,876,000.00",,,,"9,876,000.00","9,876,000.00",,"9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00","9,876,000.00",,,,,,"9,876,000.00",,
Arbalest Compact Rapid Torpedo Launcher Blueprint,"9,740,000.00",,"9,740,000.00","9,740,000.00",,,,,,,,,,,,,,,,,,,,,,,,"9,740,000.00",,
TE-2100 Ample Rapid Torpedo Launcher Blueprint,"9,740,000.00",,"9,740,000.00","9,740,000.00",,,,,,,,,,,,,,,,,,,,,,,,"9,740,000.00",,
Mammoth Blueprint,"9,375,000.00",,,,,"9,375,000.00","9,375,000.00","9,375,000.00",,,,,,,,,,,,,,,,,,,,,,
Capital Hull Repairer I Blueprint,"9,250,000.00",,,,,,,,"9,250,000.00","9,250,000.00",,"9,250,000.00",,,"9,250,000.00","9,250,000.00","9,250,000.00","9,250,000.00","9,250,000.00","9,250,000.00","9,250,000.00",,,,,,,,,
Capital Shield Extender I Blueprint,"9,200,000.00",,"9,200,000.00","9,200,000.00","9,200,000.00",,,,"9,200,000.00",,"9,200,000.00","9,200,000.00","9,200,000.00","9,200,000.00","9,200,000.00","9,200,000.00",,,,,,,,,,,,"9,200,000.00",,
Dragoon Blueprint,"9,023,825.00",,,,,,,,"9,023,825.00",,"9,023,825.00","9,023,825.00","9,023,825.00","9,023,825.00","9,023,825.00","9,023,825.00",,,,,,,,,,,,,,
800mm Repeating Cannon I Blueprint,"9,000,000.00",,,"9,000,000.00",,"9,000,000.00","9,000,000.00","9,000,000.00",,,"9,000,000.00","9,000,000.00","9,000,000.00",,,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,,,,,,,,,
Mega Pulse Laser I Blueprint,"9,000,000.00",,,,,,,,"9,000,000.00",,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,,,,,,,,,,,,,
Ion Blaster Cannon I Blueprint,"9,000,000.00",,"9,000,000.00","9,000,000.00","9,000,000.00",,,,,,,,,,,,"9,000,000.00",,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,,,,,"9,000,000.00",,
Scourge Torpedo Blueprint,"9,000,000.00",,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,,"9,000,000.00",,,"9,000,000.00",,
Corax Blueprint,"8,795,138.00",,"8,795,138.00","8,795,138.00","8,795,138.00",,,,,,,,,,,,,,,,,,,,,,,"8,795,138.00",,
Coercer Blueprint,"8,635,240.00",,,,,,,,"8,635,240.00",,"8,635,240.00","8,635,240.00","8,635,240.00","8,635,240.00","8,635,240.00","8,635,240.00",,,,,,,,,,,,,,
Cormorant Blueprint,"8,416,400.00",,"8,416,400.00","8,416,400.00","8,416,400.00",,,,,,,,,,,,,,,,,,,,,,,"8,416,400.00",,
Algos Blueprint,"8,242,751.00",,,,,,,,,,,,,,,,"8,242,751.00",,"8,242,751.00","8,242,751.00","8,242,751.00","8,242,751.00",,,,,,,,
Inferno Torpedo Blueprint,"8,000,000.00",,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00",,,"8,000,000.00",,
Plutonium Charge XL Blueprint,"8,000,000.00","8,000,000.00","8,000,000.00",,,,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,,,"8,000,000.00",,,,"8,000,000.00","8,000,000.00",,,,,,"8,000,000.00",,
Phased Plasma XL Blueprint,"8,000,000.00",,,,,"8,000,000.00","8,000,000.00","8,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Standup ASML-LD Missile Blueprint,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00",,,"8,000,000.00",,
Standup ASML-MD Missile Blueprint,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00",,,"8,000,000.00",,
Standup ASML-SD Missile Blueprint,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,"8,000,000.00",,,"8,000,000.00",,
500MN Microwarpdrive I Blueprint,"7,909,400.00",,"7,909,400.00","7,909,400.00",,,"7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00",,"7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00","7,909,400.00",,,"7,909,400.00",,,"7,909,400.00",,
Catalyst Blueprint,"7,887,800.00",,,,,,,,,,,,,,,,"7,887,800.00",,"7,887,800.00","7,887,800.00","7,887,800.00","7,887,800.00",,,,,,,,
Talwar Blueprint,"7,837,500.00",,,,,"7,837,500.00","7,837,500.00","7,837,500.00",,,,,,,,,,,,,,,,,,,,,,
Thrasher Blueprint,"7,500,000.00",,,,,"7,500,000.00","7,500,000.00","7,500,000.00",,,,,,,,,,,,,,,,,,,,,,
Mobile Small Warp Disruptor I Blueprint,"7,485,280.00",,,,,,"7,485,280.00","7,485,280.00",,,,,,,,,,,,,,,"7,485,280.00",,"7,485,280.00",,,,"7,485,280.00",
Tayra Blueprint,"7,425,000.00",,"7,425,000.00","7,425,000.00","7,425,000.00",,,,,,,,,,,,,,,,,,,,,,,"7,425,000.00",,
Ogre I Blueprint,"7,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,"7,000,000.00",,
Mjolnir Torpedo Blueprint,"7,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,"7,000,000.00",,,"7,000,000.00",,
1600mm Steel Plates I Blueprint,"7,000,000.00",,"7,000,000.00",,,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,"7,000,000.00","7,000,000.00",,"7,000,000.00",,,,,,,
Uranium Charge XL Blueprint,"7,000,000.00","7,000,000.00","7,000,000.00",,,,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,"7,000,000.00",,,,"7,000,000.00","7,000,000.00",,,,,,"7,000,000.00",,
Fusion XL Blueprint,"7,000,000.00",,,,,"7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Ogre SD-900 Blueprint,"7,000,000.00",,"7,000,000.00",,,"7,000,000.00","7,000,000.00","7,000,000.00",,,,"7,000,000.00","7,000,000.00","7,000,000.00",,,,"7,000,000.00",,,"7,000,000.00",,,,,,,,,
Gaze Survey Probe I Blueprint,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,"7,000,000.00",,
Dual 650mm Repeating Cannon I Blueprint,"6,000,000.00",,,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Dual Heavy Beam Laser I Blueprint,"6,000,000.00",,,,,,,,"6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,,,
Epithal Blueprint,"6,000,000.00",,,,,,,,,,,,,,,,"6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,
Electron Blaster Cannon I Blueprint,"6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,"6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,,"6,000,000.00",,
Praetor I Blueprint,"6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,,"6,000,000.00",,
Thorium Charge XL Blueprint,"6,000,000.00","6,000,000.00","6,000,000.00",,,,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,"6,000,000.00",,,,"6,000,000.00","6,000,000.00",,,,,,"6,000,000.00",,
Titanium Sabot XL Blueprint,"6,000,000.00",,,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Praetor EV-900 Blueprint,"6,000,000.00",,"6,000,000.00",,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,"6,000,000.00",,,"6,000,000.00",,,,,,,,,
Praetor TD-900 Blueprint,"6,000,000.00",,"6,000,000.00",,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,"6,000,000.00",,,"6,000,000.00",,,,,,,,,
X-Large Shield Booster I Blueprint,"5,854,720.00",,"5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00",,"5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00",,"5,854,720.00","5,854,720.00","5,854,720.00","5,854,720.00",,,,,,"5,854,720.00",,
Mjolnir Cruise Missile Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,"5,000,000.00",,
Wasp I Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,"5,000,000.00",,
Mjolnir Auto-Targeting Cruise Missile I Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,"5,000,000.00",,
Cap Booster 800 Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,,,
Thermonuclear Trigger Unit Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Crystalline Carbonide Armor Plate Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Plasma Thruster Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Nanomechanical Microprocessor Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Nuclear Pulse Generator Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Scalar Capacitor Unit Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Titanium Diborite Armor Plate Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Ion Thruster Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Nanoelectrical Microprocessor Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Fusion Reactor Unit Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Graviton Pulse Generator Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Ladar Sensor Cluster Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Tesseract Capacitor Unit Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
EM Pulse Generator Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Radar Sensor Cluster Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Oscillator Capacitor Unit Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Antimatter Reactor Unit Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Plasma Pulse Generator Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Gravimetric Sensor Cluster Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Pulse Shield Emitter Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Nuclear Reactor Unit Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Particle Accelerator Unit Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Magnetometric Sensor Cluster Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Deflection Shield Emitter Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Electrolytic Capacitor Unit Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Laser Focusing Crystals Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Fusion Thruster Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Tungsten Carbide Armor Plate Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Quantum Microprocessor Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Sustained Shield Emitter Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Graviton Reactor Unit Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Superconductor Rails Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Fernite Carbide Composite Armor Plate Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00",
Magpulse Thruster Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,
Photon Microprocessor Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,
Linear Shield Emitter Blueprint,"5,000,000.00",,,,,,,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,"5,000,000.00",,,,,,,,"5,000,000.00",,,,,,
Lead Charge XL Blueprint,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,"5,000,000.00",,,,"5,000,000.00","5,000,000.00",,,,,,"5,000,000.00",,
Depleted Uranium XL Blueprint,"5,000,000.00",,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Wasp EC-900 Blueprint,"5,000,000.00",,"5,000,000.00",,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00",,,"5,000,000.00",,,,,,,,,
Core Scanner Probe I Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00",,
Combat Scanner Probe I Blueprint,"5,000,000.00",,"5,000,000.00","5,000,000.00",,"5,000,000.00",,"5,000,000.00","5,000,000.00",,,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"5,000,000.00",,
Quest Survey Probe I Blueprint,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,"5,000,000.00",,
